transaction_id,account_id,customer_name,txn_date,txn_time,amount,txn_type,counterparty,counterparty_country,channel
79,1070,Wei Zhang,2026-06-22 00:00:00,00:00:00,1967.3,deposit,Payroll,US,atm
80,1070,Wei Zhang,2026-06-22 00:00:00,00:00:00,2588.22,withdrawal,Payroll,US,branch
81,1070,Wei Zhang,2026-06-28 00:00:00,00:00:00,2872.81,withdrawal,Grocery Store,US,online
82,1070,Wei Zhang,2026-07-06 00:00:00,00:00:00,1031.12,deposit,Grocery Store,US,online
83,1070,Wei Zhang,2026-08-20 00:00:00,00:00:00,194.73,withdrawal,Payroll,US,atm
84,1080,Sara Ali,2026-01-11 00:00:00,00:00:00,938.61,deposit,Landlord,US,online
85,1080,Sara Ali,2026-01-29 00:00:00,00:00:00,244.23,deposit,ATM,US,online
86,1080,Sara Ali,2026-02-03 00:00:00,00:00:00,2021.64,withdrawal,Utility Co,US,atm
87,1080,Sara Ali,2026-02-24 00:00:00,00:00:00,1527.54,deposit,Landlord,US,online
88,1080,Sara Ali,2026-03-06 00:00:00,00:00:00,2717.9,deposit,Payroll,US,branch
89,1080,Sara Ali,2026-03-09 00:00:00,00:00:00,363.98,deposit,ATM,US,online
90,1080,Sara Ali,2026-03-11 00:00:00,00:00:00,859.63,deposit,Landlord,US,online
91,1080,Sara Ali,2026-04-19 00:00:00,00:00:00,2491.46,deposit,Payroll,US,atm
92,1080,Sara Ali,2026-04-24 00:00:00,00:00:00,1664.01,withdrawal,ATM,US,online
93,1080,Sara Ali,2026-05-16 00:00:00,00:00:00,43.31,withdrawal,Payroll,US,online
94,1080,Sara Ali,2026-06-09 00:00:00,00:00:00,2995.39,deposit,Payroll,US,branch
95,1080,Sara Ali,2026-06-18 00:00:00,00:00:00,1759.34,withdrawal,Landlord,US,online
96,1080,Sara Ali,2026-06-21 00:00:00,00:00:00,2154.25,deposit,Landlord,US,atm
97,1080,Sara Ali,2026-06-24 00:00:00,00:00:00,763.6,deposit,Landlord,US,branch
98,1080,Sara Ali,2026-06-25 00:00:00,00:00:00,1910.03,withdrawal,ATM,US,atm
99,1080,Sara Ali,2026-07-17 00:00:00,00:00:00,409.84,withdrawal,Grocery Store,US,branch
100,1080,Sara Ali,2026-08-02 00:00:00,00:00:00,1638.79,withdrawal,ATM,US,branch
101,1080,Sara Ali,2026-08-02 00:00:00,00:00:00,1120.26,deposit,Utility Co,US,online
102,1080,Sara Ali,2026-08-14 00:00:00,00:00:00,747.97,withdrawal,Grocery Store,US,atm
103,1080,Sara Ali,2026-08-15 00:00:00,00:00:00,2626.64,deposit,Grocery Store,US,online
104,1080,Sara Ali,2026-08-26 00:00:00,00:00:00,2260.56,deposit,Payroll,US,atm
105,1090,Tom Wallace,2026-01-10 00:00:00,00:00:00,343.04,withdrawal,Landlord,US,branch
106,1090,Tom Wallace,2026-01-18 00:00:00,00:00:00,2847.65,withdrawal,ATM,US,atm
107,1090,Tom Wallace,2026-02-02 00:00:00,00:00:00,591.68,withdrawal,Grocery Store,US,branch
108,1090,Tom Wallace,2026-02-18 00:00:00,00:00:00,779.07,withdrawal,Payroll,US,branch
109,1090,Tom Wallace,2026-02-26 00:00:00,00:00:00,614.73,withdrawal,Landlord,US,atm
110,1090,Tom Wallace,2026-06-18 00:00:00,00:00:00,595.53,withdrawal,Landlord,US,online
111,1090,Tom Wallace,2026-06-19 00:00:00,00:00:00,2547.09,withdrawal,ATM,US,atm
112,1090,Tom Wallace,2026-06-20 00:00:00,00:00:00,1237.01,withdrawal,Landlord,US,branch
113,1090,Tom Wallace,2026-06-23 00:00:00,00:00:00,2943.83,withdrawal,Payroll,US,online
114,1090,Tom Wallace,2026-07-21 00:00:00,00:00:00,2109.81,withdrawal,Payroll,US,atm
115,1090,Tom Wallace,2026-07-21 00:00:00,00:00:00,954.76,deposit,Utility Co,US,branch
116,1090,Tom Wallace,2026-07-25 00:00:00,00:00:00,2016.32,deposit,Landlord,US,online
117,1090,Tom Wallace,2026-07-30 00:00:00,00:00:00,2390.13,deposit,Grocery Store,US,online
118,1090,Tom Wallace,2026-08-13 00:00:00,00:00:00,2911.79,deposit,ATM,US,atm
119,1090,Tom Wallace,2026-08-14 00:00:00,00:00:00,1248.64,deposit,Landlord,US,atm
120,1090,Tom Wallace,2026-08-25 00:00:00,00:00:00,2423.4,deposit,Landlord,US,atm
121,1090,Tom Wallace,2026-09-05 00:00:00,00:00:00,2324.51,withdrawal,ATM,US,atm
122,1100,Fatima Noor,2026-01-12 00:00:00,00:00:00,749.63,withdrawal,ATM,US,online
123,1100,Fatima Noor,2026-01-21 00:00:00,00:00:00,432.35,deposit,Utility Co,US,branch
124,1100,Fatima Noor,2026-01-22 00:00:00,00:00:00,865.68,withdrawal,Payroll,US,online
125,1100,Fatima Noor,2026-02-09 00:00:00,00:00:00,2125.13,deposit,Utility Co,US,atm
126,1100,Fatima Noor,2026-02-23 00:00:00,00:00:00,1301.07,withdrawal,Utility Co,US,atm
127,1100,Fatima Noor,2026-02-26 00:00:00,00:00:00,544.14,withdrawal,Payroll,US,branch
128,1100,Fatima Noor,2026-03-05 00:00:00,00:00:00,2754.06,deposit,Utility Co,US,online
129,1100,Fatima Noor,2026-03-11 00:00:00,00:00:00,1318.79,deposit,Utility Co,US,atm
130,1100,Fatima Noor,2026-03-15 00:00:00,00:00:00,718.79,withdrawal,Landlord,US,branch
131,1100,Fatima Noor,2026-03-19 00:00:00,00:00:00,1230.1,deposit,Landlord,US,atm
132,1100,Fatima Noor,2026-03-26 00:00:00,00:00:00,1636.98,withdrawal,Payroll,US,online
133,1100,Fatima Noor,2026-04-13 00:00:00,00:00:00,747.07,deposit,Payroll,US,atm
134,1100,Fatima Noor,2026-04-24 00:00:00,00:00:00,2033.37,withdrawal,Grocery Store,US,branch
135,1100,Fatima Noor,2026-04-27 00:00:00,00:00:00,1255.03,deposit,Utility Co,US,atm
136,1100,Fatima Noor,2026-05-03 00:00:00,00:00:00,37.57,withdrawal,Landlord,US,atm
137,1100,Fatima Noor,2026-06-10 00:00:00,00:00:00,732.95,withdrawal,Payroll,US,branch
138,1100,Fatima Noor,2026-06-22 00:00:00,00:00:00,945.05,deposit,Grocery Store,US,online
139,1100,Fatima Noor,2026-07-08 00:00:00,00:00:00,1647.47,deposit,Utility Co,US,online
140,1100,Fatima Noor,2026-07-12 00:00:00,00:00:00,756.77,withdrawal,ATM,US,atm
141,1100,Fatima Noor,2026-07-25 00:00:00,00:00:00,1404.64,withdrawal,Utility Co,US,branch
142,1100,Fatima Noor,2026-07-28 00:00:00,00:00:00,2163.44,withdrawal,ATM,US,atm
143,1100,Fatima Noor,2026-08-02 00:00:00,00:00:00,1272.03,deposit,ATM,US,atm
144,1100,Fatima Noor,2026-08-07 00:00:00,00:00:00,2677.09,withdrawal,ATM,US,branch
145,1100,Fatima Noor,2026-08-18 00:00:00,00:00:00,494.29,withdrawal,Utility Co,US,atm
146,1110,Liam O'Connor,2026-01-18 00:00:00,00:00:00,2348.07,deposit,Payroll,US,online
147,1110,Liam O'Connor,2026-01-28 00:00:00,00:00:00,1744.48,withdrawal,ATM,US,branch
148,1110,Liam O'Connor,2026-02-15 00:00:00,00:00:00,2206.71,withdrawal,ATM,US,branch
149,1110,Liam O'Connor,2026-02-16 00:00:00,00:00:00,169.85,withdrawal,Landlord,US,online
150,1110,Liam O'Connor,2026-02-21 00:00:00,00:00:00,2520.9,deposit,Grocery Store,US,online
151,1110,Liam O'Connor,2026-03-04 00:00:00,00:00:00,2256.42,withdrawal,Landlord,US,online
152,1110,Liam O'Connor,2026-03-06 00:00:00,00:00:00,2508.03,withdrawal,Payroll,US,branch
153,1110,Liam O'Connor,2026-03-07 00:00:00,00:00:00,2305.36,deposit,ATM,US,branch
154,1110,Liam O'Connor,2026-03-24 00:00:00,00:00:00,2558.11,deposit,Landlord,US,atm
155,1110,Liam O'Connor,2026-03-30 00:00:00,00:00:00,1607.58,withdrawal,Payroll,US,branch
156,1110,Liam O'Connor,2026-04-01 00:00:00,00:00:00,2397.54,withdrawal,Landlord,US,branch
157,1110,Liam O'Connor,2026-04-21 00:00:00,00:00:00,2883.15,withdrawal,Grocery Store,US,atm
158,1110,Liam O'Connor,2026-04-27 00:00:00,00:00:00,994.0,withdrawal,Landlord,US,atm
159,1110,Liam O'Connor,2026-05-02 00:00:00,00:00:00,2014.99,deposit,Utility Co,US,branch
160,1110,Liam O'Connor,2026-05-07 00:00:00,00:00:00,2555.84,deposit,Utility Co,US,online
161,1110,Liam O'Connor,2026-05-19 00:00:00,00:00:00,175.22,withdrawal,Grocery Store,US,branch
162,1110,Liam O'Connor,2026-06-01 00:00:00,00:00:00,2078.03,deposit,Payroll,US,branch
163,1110,Liam O'Connor,2026-06-09 00:00:00,00:00:00,1611.69,withdrawal,ATM,US,branch
164,1110,Liam O'Connor,2026-06-15 00:00:00,00:00:00,1036.87,withdrawal,Utility Co,US,online
165,1110,Liam O'Connor,2026-06-19 00:00:00,00:00:00,100.76,withdrawal,Grocery Store,US,atm
166,1110,Liam O'Connor,2026-06-23 00:00:00,00:00:00,2398.46,deposit,Utility Co,US,online
167,1110,Liam O'Connor,2026-07-17 00:00:00,00:00:00,918.72,deposit,ATM,US,online
168,1110,Liam O'Connor,2026-07-18 00:00:00,00:00:00,1460.82,withdrawal,ATM,US,atm
169,1110,Liam O'Connor,2026-08-21 00:00:00,00:00:00,2875.36,withdrawal,Grocery Store,US,online
170,1110,Liam O'Connor,2026-09-04 00:00:00,00:00:00,2248.82,deposit,Grocery Store,US,atm
171,1120,Grace Ito,2026-01-04 00:00:00,12:00:00,5810.14,deposit,Consulting Fees,US,wire
172,1120,Grace Ito,2026-01-26 00:00:00,12:00:00,6744.71,withdrawal,Consulting Fees,US,wire
173,1120,Grace Ito,2026-02-19 00:00:00,12:00:00,2122.88,withdrawal,Consulting Fees,US,wire
174,1120,Grace Ito,2026-02-26 00:00:00,12:00:00,3533.01,deposit,Consulting Fees,US,wire
175,1120,Grace Ito,2026-02-28 00:00:00,12:00:00,3206.61,withdrawal,Consulting Fees,US,wire
176,1120,Grace Ito,2026-03-03 00:00:00,12:00:00,5900.56,withdrawal,Consulting Fees,US,wire
177,1120,Grace Ito,2026-03-12 00:00:00,12:00:00,5934.39,withdrawal,Consulting Fees,US,wire
178,1120,Grace Ito,2026-03-12 00:00:00,12:00:00,841.37,deposit,Consulting Fees,US,wire
179,1120,Grace Ito,2026-03-20 00:00:00,12:00:00,5479.7,withdrawal,Consulting Fees,US,wire
180,1120,Grace Ito,2026-03-20 00:00:00,12:00:00,2385.53,deposit,Consulting Fees,US,wire
181,1120,Grace Ito,2026-04-01 00:00:00,12:00:00,5771.41,withdrawal,Consulting Fees,US,wire
182,1120,Grace Ito,2026-04-19 00:00:00,12:00:00,7974.74,withdrawal,Consulting Fees,US,wire
183,1120,Grace Ito,2026-05-02 00:00:00,12:00:00,4651.05,withdrawal,Consulting Fees,US,wire
184,1120,Grace Ito,2026-05-13 00:00:00,12:00:00,7610.47,deposit,Consulting Fees,US,wire
185,1120,Grace Ito,2026-05-23 00:00:00,12:00:00,6186.23,withdrawal,Consulting Fees,US,wire
186,1120,Grace Ito,2026-06-15 00:00:00,12:00:00,5838.82,withdrawal,Consulting Fees,US,wire
187,1120,Grace Ito,2026-06-29 00:00:00,12:00:00,7100.81,deposit,Consulting Fees,US,wire
188,1120,Grace Ito,2026-07-04 00:00:00,12:00:00,1944.38,deposit,Consulting Fees,US,wire
189,1120,Grace Ito,2026-07-10 00:00:00,12:00:00,4518.98,deposit,Consulting Fees,US,wire
190,1120,Grace Ito,2026-07-22 00:00:00,12:00:00,629.32,withdrawal,Consulting Fees,US,wire
